取引金額 (CNY),現在の残高 (CNY),取引方法,取引番号,取引区分,注文番号,外部決済番号,取引日
-101.7,143832.38,残高,B2B-BJ-JPN12-004,見積書支払い,B2B-BJ-JPN12-260513-004,--,2026-05-13 18:06
-6117.15,143934.08,残高,B2B-BJ-JPN12-003,見積書支払い,B2B-BJ-JPN12-260409-001,--,2026-04-10 14:51
-2733,150051.23,残高,B2B-BJ-JPN12-002,見積書支払い,B2B-BJ-JPN12-260410-002,--,2026-04-10 14:51
-11970,152784.23,残高,B2B-BJ-JPN12-001,見積書支払い,B2B-BJ-JPN12-260410-003,--,2026-04-10 14:47
150000,164754.23,残高,B2B-YEHK-JPN12-004,前払入金,B2B-RZ-JPN12-260410-005,--,2026-04-10 14:44
51.23,14754.23,残高,B2B-YEHK-JPN12-003,前払入金,B2B-RZ-JPN12-260410-001,--,2026-04-10 14:42
11970,14703,残高,B2B-YEHK-JPN12-002,前払入金,B2B-RZ-JPN12-260410-002,--,2026-04-10 14:42
2733,2733,残高,B2B-YEHK-JPN12-001,前払入金,B2B-RZ-JPN12-260410-003,--,2026-04-10 14:42
